metric_category,metric_name,value,unit
timing,data_loading,21.974,ms
timing,preprocessing,15.179,ms
timing,segmentation,13.55,ms
timing,camera_setup,0.047,ms
timing,optimization,1004.24,ms
timing,logging,9.989,ms
timing,total,1065.03,ms
algorithm,total_iterations,342,count
algorithm,initial_mhd_score,362.907,score
algorithm,final_mhd_score,276.359,score
algorithm,improvement,86.5483,score
algorithm,convergence_rate,0.238486,ratio
algorithm,avg_iteration_time,2.90749,ms
throughput,iterations_per_second,340.556,iter/s
throughput,points_per_second,1.08024e+06,points/s
throughput,edges_per_second,206036,edges/s
throughput,mhd_computations_per_second,343.543,calls/s
