gray_value,original_count,equalized_count
0,0.264421,0.000000
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000104,0.000000
16,0.000000,0.000000
17,0.000000,0.000000
18,0.000000,0.000000
19,0.000000,0.000000
20,0.000000,0.000000
21,0.000000,0.000000
22,0.000000,0.000000
23,0.000000,0.000000
24,0.000000,0.000000
25,0.000000,0.000000
26,0.000000,0.000000
27,0.000000,0.000000
28,0.000000,0.000000
29,0.000000,0.000000
30,0.000000,0.000000
31,0.000000,0.000000
32,0.000000,0.000000
33,0.000000,0.000000
34,0.000000,0.000000
35,0.000000,0.000000
36,0.000000,0.000000
37,0.000000,0.000000
38,0.000003,0.000000
39,0.000199,0.000000
40,0.000000,0.000000
41,0.000000,0.000000
42,0.002438,0.000000
43,0.016130,0.000000
44,0.023864,0.000000
45,0.000000,0.000000
46,0.000000,0.000000
47,0.014489,0.000000
48,0.008561,0.000000
49,0.010921,0.000000
50,0.000000,0.000000
51,0.010599,0.000000
52,0.000000,0.000000
53,0.007419,0.000000
54,0.005459,0.000000
55,0.000000,0.000000
56,0.007018,0.000000
57,0.006742,0.000000
58,0.000000,0.000000
59,0.005498,0.000000
60,0.000000,0.000000
61,0.005101,0.000000
62,0.005739,0.000000
63,0.006442,0.000000
64,0.000758,0.000000
65,0.005319,0.000000
66,0.000000,0.000000
67,0.005928,0.264528
68,0.005869,0.002637
69,0.008760,0.000000
70,0.000000,0.000000
71,0.006507,0.000000
72,0.003770,0.016130
73,0.000000,0.000000
74,0.009284,0.000000
75,0.007331,0.000000
76,0.008499,0.000000
77,0.000000,0.000000
78,0.004658,0.023864
79,0.003672,0.000000
80,0.000000,0.000000
81,0.008890,0.000000
82,0.000000,0.014489
83,0.004824,0.000000
84,0.000000,0.008561
85,0.005010,0.000000
86,0.006510,0.000000
87,0.000000,0.010921
88,0.008092,0.000000
89,0.000000,0.000000
90,0.008965,0.010599
91,0.000000,0.000000
92,0.004951,0.007419
93,0.005495,0.005459
94,0.000000,0.000000
95,0.009336,0.007018
96,0.000000,0.006742
97,0.009977,0.000000
98,0.000000,0.005498
99,0.000000,0.005101
100,0.007617,0.000000
101,0.000000,0.005739
102,0.004580,0.007201
103,0.000000,0.000000
104,0.008405,0.005319
105,0.000000,0.005928
106,0.000000,0.000000
107,0.010993,0.005869
108,0.000000,0.000000
109,0.006400,0.008760
110,0.000000,0.000000
111,0.005329,0.006507
112,0.000000,0.003770
113,0.000000,0.000000
114,0.007321,0.009284
115,0.000000,0.000000
116,0.005426,0.007331
117,0.000000,0.000000
118,0.004544,0.008499
119,0.000934,0.004658
120,0.000000,0.003672
121,0.007181,0.000000
122,0.000000,0.008890
123,0.005495,0.000000
124,0.000000,0.004824
125,0.003757,0.005010
126,0.001208,0.000000
127,0.000000,0.006510
128,0.006299,0.000000
129,0.000000,0.008092
130,0.004349,0.000000
131,0.000000,0.008965
132,0.003857,0.004951
133,0.001107,0.000000
134,0.000000,0.005495
135,0.005433,0.000000
136,0.000000,0.009336
137,0.004674,0.000000
138,0.000000,0.000000
139,0.005514,0.009977
140,0.000000,0.000000
141,0.000000,0.007617
142,0.003971,0.004580
143,0.000000,0.000000
144,0.004365,0.008405
145,0.000000,0.000000
146,0.003447,0.000000
147,0.001279,0.010993
148,0.000000,0.006400
149,0.004928,0.000000
150,0.000000,0.005329
151,0.004909,0.000000
152,0.000000,0.007321
153,0.000000,0.005426
154,0.004977,0.005479
155,0.000000,0.000000
156,0.004307,0.007181
157,0.000000,0.000000
158,0.005970,0.009251
159,0.000000,0.001208
160,0.000000,0.006299
161,0.004805,0.000000
162,0.000000,0.008206
163,0.005254,0.001107
164,0.000000,0.005433
165,0.005234,0.004674
166,0.000000,0.000000
167,0.000000,0.005514
168,0.005902,0.003971
169,0.000000,0.004365
170,0.005270,0.004727
171,0.000000,0.004928
172,0.003877,0.000000
173,0.001875,0.004909
174,0.000000,0.004977
175,0.005960,0.004307
176,0.000000,0.005970
177,0.006286,0.000000
178,0.000000,0.004805
179,0.004193,0.005254
180,0.006107,0.005234
181,0.009359,0.000000
182,0.004684,0.005902
183,0.005576,0.005270
184,0.012568,0.003877
185,0.004958,0.001875
186,0.002285,0.005960
187,0.012946,0.000000
188,0.005921,0.006286
189,0.004056,0.004193
190,0.009733,0.006107
191,0.005361,0.000000
192,0.005495,0.000000
193,0.007975,0.009359
194,0.006852,0.004684
195,0.002493,0.005576
196,0.012005,0.000000
197,0.002500,0.000000
198,0.008545,0.000000
199,0.005423,0.012568
200,0.004834,0.004958
201,0.009040,0.002285
202,0.002135,0.000000
203,0.006846,0.000000
204,0.006344,0.012946
205,0.003903,0.005921
206,0.001745,0.004056
207,0.006468,0.000000
208,0.005687,0.000000
209,0.002064,0.009733
210,0.009076,0.005361
211,0.002191,0.000000
212,0.006576,0.005495
213,0.004476,0.000000
214,0.004137,0.007975
215,0.003698,0.006852
216,0.005573,0.002493
217,0.003304,0.000000
218,0.006260,0.000000
219,0.004017,0.012005
220,0.002223,0.002500
221,0.005270,0.000000
222,0.005830,0.008545
223,0.001777,0.005423
224,0.007210,0.000000
225,0.001969,0.004834
226,0.001719,0.000000
227,0.000000,0.011175
228,0.000000,0.000000
229,0.000000,0.006846
230,0.000000,0.000000
231,0.000000,0.006344
232,0.000000,0.005648
233,0.000000,0.000000
234,0.000000,0.006468
235,0.000000,0.005687
236,0.000000,0.002064
237,0.000000,0.000000
238,0.000000,0.009076
239,0.000000,0.002191
240,0.000000,0.006576
241,0.000000,0.004476
242,0.000000,0.000000
243,0.000000,0.007835
244,0.000000,0.000000
245,0.000000,0.005573
