gray_value,original_count,equalized_count
0,0.486999,0.000000
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000488,0.000000
16,0.006937,0.000000
17,0.010332,0.000000
18,0.047145,0.000000
19,0.009378,0.000000
20,0.009287,0.000000
21,0.012858,0.000000
22,0.007295,0.000000
23,0.007181,0.000000
24,0.007585,0.000000
25,0.006084,0.000000
26,0.009870,0.000000
27,0.006165,0.000000
28,0.005189,0.000000
29,0.004997,0.000000
30,0.000000,0.000000
31,0.001914,0.000000
32,0.000000,0.000000
33,0.000000,0.000000
34,0.002445,0.000000
35,0.000000,0.000000
36,0.002402,0.000000
37,0.000000,0.000000
38,0.002161,0.000000
39,0.000000,0.000000
40,0.000000,0.000000
41,0.002119,0.000000
42,0.000000,0.000000
43,0.002620,0.000000
44,0.000000,0.000000
45,0.000000,0.000000
46,0.001774,0.000000
47,0.000000,0.000000
48,0.001930,0.000000
49,0.000000,0.000000
50,0.002891,0.000000
51,0.000068,0.000000
52,0.000000,0.000000
53,0.001790,0.000000
54,0.000117,0.000000
55,0.002074,0.000000
56,0.000000,0.000000
57,0.002614,0.000000
58,0.000000,0.000000
59,0.000000,0.000000
60,0.002725,0.000000
61,0.000000,0.000000
62,0.003343,0.000000
63,0.000078,0.000000
64,0.002799,0.000000
65,0.000000,0.000000
66,0.000039,0.000000
67,0.006185,0.000000
68,0.000091,0.000000
69,0.007021,0.000000
70,0.000000,0.000000
71,0.007415,0.000000
72,0.000199,0.000000
73,0.000000,0.000000
74,0.005680,0.000000
75,0.000000,0.000000
76,0.010283,0.000000
77,0.000000,0.000000
78,0.008955,0.000000
79,0.000000,0.000000
80,0.000000,0.000000
81,0.046403,0.000000
82,0.000000,0.000000
83,0.081204,0.000000
84,0.000000,0.000000
85,0.075260,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.069473,0.000000
89,0.000000,0.000000
90,0.007956,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000026,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000003,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
100,0.000000,0.000000
101,0.000000,0.000000
102,0.000013,0.000000
103,0.000000,0.000000
104,0.000000,0.000000
105,0.000000,0.000000
106,0.000000,0.000000
107,0.000046,0.000000
108,0.000000,0.000000
109,0.000000,0.000000
110,0.000000,0.000000
111,0.000085,0.000000
112,0.000000,0.000000
113,0.000000,0.000000
114,0.000000,0.000000
115,0.000000,0.000000
116,0.000003,0.000000
117,0.000000,0.000000
118,0.000000,0.000000
119,0.000000,0.000000
120,0.000000,0.000000
121,0.000000,0.000000
122,0.000000,0.000000
123,0.000000,0.000000
124,0.000000,0.487487
125,0.000000,0.000000
126,0.000003,0.006937
127,0.000000,0.000000
128,0.000000,0.000000
129,0.000000,0.010332
130,0.000000,0.000000
131,0.000000,0.000000
132,0.000000,0.000000
133,0.000000,0.000000
134,0.000000,0.000000
135,0.000000,0.000000
136,0.000000,0.000000
137,0.000000,0.000000
138,0.000000,0.000000
139,0.000000,0.000000
140,0.000000,0.000000
141,0.000000,0.047145
142,0.000000,0.000000
143,0.000000,0.009378
144,0.000000,0.000000
145,0.000000,0.009287
146,0.000000,0.000000
147,0.000000,0.000000
148,0.000000,0.000000
149,0.000000,0.012858
150,0.000000,0.000000
151,0.000000,0.007295
152,0.000000,0.007181
153,0.000000,0.000000
154,0.000000,0.007585
155,0.000000,0.000000
156,0.000000,0.006084
157,0.000000,0.000000
158,0.000000,0.009870
159,0.000000,0.000000
160,0.000000,0.006165
161,0.000000,0.005189
162,0.000000,0.000000
163,0.000000,0.006911
164,0.000000,0.004847
165,0.000000,0.004281
166,0.000000,0.002620
167,0.000000,0.003704
168,0.000000,0.004867
169,0.000000,0.002074
170,0.000000,0.005339
171,0.000000,0.003421
172,0.000000,0.002839
173,0.000000,0.006276
174,0.000000,0.000000
175,0.000000,0.007021
176,0.000000,0.000000
177,0.000000,0.007614
178,0.000000,0.000000
179,0.000000,0.005680
180,0.000000,0.000000
181,0.000000,0.010283
182,0.000000,0.000000
183,0.000000,0.008955
184,0.000000,0.000000
185,0.000000,0.000000
186,0.000000,0.000000
187,0.000000,0.000000
188,0.000000,0.000000
189,0.000000,0.000000
190,0.000000,0.000000
191,0.000000,0.000000
192,0.000000,0.000000
193,0.000000,0.000000
194,0.000000,0.000000
195,0.000000,0.046403
196,0.000000,0.000000
197,0.000000,0.000000
198,0.000000,0.000000
199,0.000000,0.000000
200,0.000000,0.000000
201,0.000000,0.000000
202,0.000000,0.000000
203,0.000000,0.000000
204,0.000000,0.000000
205,0.000000,0.000000
206,0.000000,0.000000
207,0.000000,0.000000
208,0.000000,0.000000
209,0.000000,0.000000
210,0.000000,0.000000
211,0.000000,0.000000
212,0.000000,0.000000
213,0.000000,0.000000
214,0.000000,0.000000
215,0.000000,0.000000
216,0.000000,0.081204
217,0.000000,0.000000
218,0.000000,0.000000
219,0.000000,0.000000
220,0.000000,0.000000
221,0.000000,0.000000
222,0.000000,0.000000
223,0.000000,0.000000
224,0.000000,0.000000
225,0.000000,0.000000
226,0.000000,0.000000
227,0.000000,0.000000
228,0.000000,0.000000
229,0.000000,0.000000
230,0.000000,0.000000
231,0.000000,0.000000
232,0.000000,0.000000
233,0.000000,0.000000
234,0.000000,0.000000
235,0.000000,0.075260
236,0.000000,0.000000
237,0.000000,0.000000
238,0.000000,0.000000
239,0.000000,0.000000
240,0.000000,0.000000
241,0.000000,0.000000
242,0.000000,0.000000
243,0.000000,0.000000
244,0.000000,0.000000
245,0.000000,0.000000
246,0.000000,0.000000
247,0.000000,0.000000
248,0.000000,0.000000
249,0.000000,0.000000
250,0.000000,0.000000
251,0.000000,0.000000
252,0.000000,0.000000
253,0.000000,0.069473
254,0.000000,0.000000
255,0.000000,0.008135
